English,Telugu,Swahili,Hindi,Arabic
Have you been using any new hair products recently?,మీరు ఇటీవల ఏవైనా కొత్త జుట్టు ఉత్పత్తులను ఉపయోగించారా?,Umewahi kutumia bidhaa mpya za nywele hivi karibuni?,क्या आप हाल ही में किसी नए बाल उत्पादों का उपयोग कर रहे हैं?,هل كنت تستخدم أي منتجات شعر جديدة مؤخرا؟
"No, I've been using the same shampoo and conditioner that I've always used.","లేదు, నేను ఎల్లప్పుడూ ఉపయోగించే అదే షాంపూ మరియు కండిషనర్‌ను ఉపయోగిస్తున్నాను.","Hapana, nimekuwa nikitumia shampoo sawa na kiyoyozi ambacho nimekuwa nikitumia kila wakati.","नहीं, मैं उसी शैम्पू और कंडीशनर का उपयोग कर रहा हूं जो मैंने हमेशा इस्तेमाल किया है।",لا ، لقد كنت أستخدم نفس الشامبو والبلسم الذي استخدمته دائما.
"I have a dry, flaky skin.","నాకు పొడి, పొలుసు చర్మం ఉంది.","Nina ngozi kavu, yenye ladha.","मेरे पास एक सूखी, परतदार त्वचा है।",لدي بشرة جافة ومتقشرة.
The dry skin is itchy and uncomfortable.,ఈ పొడి చర్మం దురదృబాటు మరియు అసౌకర్యంగా ఉంది.,Ngozi kavu ni itchy na wasiwasi.,शुष्क त्वचा खुजली और असहज है।,الجلد الجاف حكة وغير مريح.
Do you use moisturizer regularly?,మీరు క్రమం తప్పకు మాయిశ్చరైజర్ ఉపయోగిస్తున్నారా?,"Je, unatumia moisturizer mara kwa mara?",क्या आप नियमित रूप से मॉइस्चराइज़र का उपयोग करते हैं?,هل تستخدم المرطب بانتظام؟
I have oily skin.,నాకు నూనె చర్మం ఉంది.,Nina ngozi ya mafuta.,मेरी त्वचा तैलीय है।,لدي بشرة دهنية.
The oily skin is shiny and breakout-prone.,ఈ నూనె చర్మం మెరుస్తూ మరియు బ్రేక్‌ఔట్‌కు గురవుతుంది.,Ngozi ya mafuta ni shiny na kuzuka-prone.,तैलीय त्वचा चमकदार और ब्रेकआउट-प्रवण होती है।,البشرة الدهنية لامعة وعرضة للبثور.
Do you wash your face twice a day with a gentle cleanser?,మీరు రోజుకు రెండుసార్లు సున్నితమైన క్లెన్సర్‌తో మీ ముఖాన్ని కడుగుతున్నారా?,"Je, unaosha uso wako mara mbili kwa siku na kusafisha laini?",क्या आप दिन में दो बार अपने चेहरे को सौम्य क्लींजर से धोते हैं?,هل تغسل وجهك مرتين في اليوم بمنظف لطيف؟
I have sensitive skin.,నాకు సున్నితమైన చర్మం ఉంది.,Nina ngozi nyeti.,मेरे पास संवेदनशील त्वचा है।,لدي بشرة حساسة.
The sensitive skin is easily irritated by harsh products or fragrances.,ఈ సున్నితమైన చర్మం కఠినమైన ఉత్పత్తులు లేదా సుగంధ ద్రవ్యాల వల్ల చికాకుకు గురవుతుంది.,Ngozi nyeti hukasirika kwa urahisi na bidhaa kali au harufu.,संवेदनशील त्वचा कठोर उत्पादों या सुगंध से आसानी से परेशान हो जाती है।,تتهيج البشرة الحساسة بسهولة بسبب المنتجات أو العطور القاسية.
Do you use fragrance-free products and avoid harsh scrubs?,మీరు సుగంధ-రహిత ఉత్పత్తులను ఉపయోగిస్తారా మరియు కఠినమైన స్క్రబ్‌లను నివారించారా?,"Je, unatumia bidhaa zisizo na harufu na kuepuka scrubs kali?",क्या आप सुगंध मुक्त उत्पादों का उपयोग करते हैं और कठोर स्क्रब से बचते हैं?,هل تستخدم منتجات خالية من العطور وتتجنب الدعك القاسي؟
I have atopic dermatitis.,నాకు అటోపిక్ డెర్మటిటిస్ ఉంది.,Nina ugonjwa wa ngozi ya atopic.,मुझे एटोपिक डर्मेटाइटिस है।,أعاني من التهاب الجلد التأتبي.
"The atopic dermatitis is dry, itchy, and inflamed skin.","ఈ అటోపిక్ డెర్మటిటిస్ పొడి, దురదృబాటు మరియు వాపు ఉన్న చర్మం.","dermatitis ya atopic ni kavu, itchy, na ngozi ya inflamed.","एटोपिक डर्मेटाइटिस सूखी, खुजली और सूजन वाली त्वचा है।",التهاب الجلد التأتبي هو جلد جاف ومثير للحكة وملتهب.
"Do you avoid triggers such as dust mites, pollen, and pet dander?","మీరు ధూళి, పుప్పొడి మరియు పెంపుడు జంతువుల వంటి ట్రిగ్గర్‌లను నివారించారా?","Je, unaepuka vichocheo kama vile mites ya vumbi, poleni, na dander ya pet?","क्या आप धूल के कण, पराग और पालतू डैंडर जैसे ट्रिगर्स से बचते हैं?",هل تتجنب المحفزات مثل عث الغبار وحبوب اللقاح ووبر الحيوانات الأليفة؟
I have rosacea.,నాకు రోసేసియా ఉంది.,Nina rosacea.,मेरे पास रोजेशिया है।,لدي الوردية.
"The rosacea is redness, flushing, and visible blood vessels on the face.","ఈ రోసేసియా ముఖంపై ఎరుపు, ఎరుపు మరియు కనిపించే రక్త నాళాలు ఉన్నాయి.","rosacea ni nyekundu, flushing, na mishipa ya damu inayoonekana usoni.","रोजेशिया चेहरे पर लालिमा, निस्तब्धता और दिखाई देने वाली रक्त वाहिकाएं हैं।",الوردية هي احمرار واحمرار وأوعية دموية مرئية على الوجه.
Do you avoid sun exposure and use sunscreen with an SPF of 30 or higher?,మీరు సూర్యకాంతిని నివారించి SPF 30 లేదా అంతకంటే ఎక్కువ ఉన్న సన్‌స్క్రీన్‌ని ఉపయోగిస్తారా?,"Je, unaepuka kufichuliwa kwa jua na kutumia jua na SPF ya 30 au zaidi?",क्या आप धूप के संपर्क से बचते हैं और 30 या उससे अधिक एसपीएफ वाले सनस्क्रीन का उपयोग करते हैं?,هل تتجنب التعرض لأشعة الشمس وتستخدم واقيا من الشمس مع عامل حماية من الشمس 30 أو أعلى؟
